value,description,altLabels
Sozialversicherungsprüferin,"Sozialversicherungsprüfer untersuchen betrügerische Aktivitäten im Bereich der sozialen Sicherheit, die die Rechte von Arbeitnehmern betreffen. Sie überwachen und prüfen Leistungsanträge und gehen Beschwerden von Arbeitnehmern über das Verhalten von Unternehmen nach. Die Prüfungen beziehen sich u. a. auf das Verhalten mit Bezug auf die Beschäftigung, beispielsweise die Nichtzahlung von Löhnen und Gehältern. Sozialversicherungsprüfer stellen sicher, dass Arbeitnehmer fair und rechtlich einwandfrei behandelt werden. Sie führen Aufzeichnungen über ihre Erkenntnisse und erstellen Berichte darüber, um die Berechtigung der von ihnen untersuchten Ansprüche zu gewährleisten.",Sozialversicherungsprüfer
Soziologe,"Soziologen untersuchen das Sozialverhalten und die Art und Weise, wie Menschen sich als Gesellschaft organisieren. Sie erforschen und erklären die Herausbildung von Gesellschaften, indem sie deren rechtliche, politische und wirtschaftliche Systeme und ihre kulturellen Ausdrucksformen beschreiben.",Sozialforscher|Genderwissenschaftler|Sozialwissenschaftler|Kriminalsoziologe|Wirtschaftssoziologin|Gesellschaftswissenschaftler|Gerontologin|Sozialforscherin|Gesellschaftswissenschaftlerin|Sozialökonom|Kriminalsoziologin|Sozialwissenschaftlerin|Industriesoziologin|Wirtschaftssoziologe|Sozialökonomin|Soziologin|Genderwissenschaftlerin|Gerontologe|Industriesoziologe
Soziologin,"Soziologen untersuchen das Sozialverhalten und die Art und Weise, wie Menschen sich als Gesellschaft organisieren. Sie erforschen und erklären die Herausbildung von Gesellschaften, indem sie deren rechtliche, politische und wirtschaftliche Systeme und ihre kulturellen Ausdrucksformen beschreiben.",Sozialforscher|Genderwissenschaftler|Sozialwissenschaftler|Kriminalsoziologe|Wirtschaftssoziologin|Gesellschaftswissenschaftler|Gerontologin|Sozialforscherin|Gesellschaftswissenschaftlerin|Sozialökonom|Soziologe|Kriminalsoziologin|Sozialwissenschaftlerin|Industriesoziologin|Wirtschaftssoziologe|Sozialökonomin|Genderwissenschaftlerin|Gerontologe|Industriesoziologe
Speditionskauffrau,"Speditionskaufmänner/Speditionskauffrauen planen und organisieren Frachtsendungen im nationalen und internationalen Bereich. Sie kommunizieren mit Beförderungsunternehmen und verhandeln über die beste Möglichkeit, die Fracht, die für einen einzelnen Kunden oder ein Vertriebszentrum bestimmt sein kann, zu ihrem Bestimmungsort zu transportieren. Speditionskaufmänner/Speditionskauffrauen sind Experten für das Lieferkettenmanagement. Sie beherrschen die Regeln und Vorschriften für jede Art von Fracht und teilen den Kunden die Bedingungen und Kosten mit.",Speditionsdisponentin|Speditionskaufmann|Speditionsdisponent
Speditionskaufmann,"Speditionskaufmänner/Speditionskauffrauen planen und organisieren Frachtsendungen im nationalen und internationalen Bereich. Sie kommunizieren mit Beförderungsunternehmen und verhandeln über die beste Möglichkeit, die Fracht, die für einen einzelnen Kunden oder ein Vertriebszentrum bestimmt sein kann, zu ihrem Bestimmungsort zu transportieren. Speditionskaufmänner/Speditionskauffrauen sind Experten für das Lieferkettenmanagement. Sie beherrschen die Regeln und Vorschriften für jede Art von Fracht und teilen den Kunden die Bedingungen und Kosten mit.",Speditionskauffrau|Speditionsdisponentin|Speditionsdisponent
Speisestärkeverarbeitungsanlagenbediener,"Speisestärkeverarbeitungsanlagenbediener steuern Konvertierer, die Stärke in Glukose oder Maissirup umwandeln. Nach der Verarbeitung testen sie die Produkte auf ihre Reinheit.",Speisestärkeverarbeitungsanlagenfahrerin|Speisestärkeverarbeitungsanlagenfahrer|Speisestärkeverarbeitungsanlagenbedienerin
Speisestärkeverarbeitungsanlagenbedienerin,"Speisestärkeverarbeitungsanlagenbediener steuern Konvertierer, die Stärke in Glukose oder Maissirup umwandeln. Nach der Verarbeitung testen sie die Produkte auf ihre Reinheit.",Speisestärkeverarbeitungsanlagenfahrerin|Speisestärkeverarbeitungsanlagenfahrer|Speisestärkeverarbeitungsanlagenbediener
Spezialeffekt-Künstler Pyrotechnik,"Spezialeffekt-Künstler Pyrotechnik entwickeln ein pyrotechnisches Konzept für eine Aufführung und überwachen dessen Umsetzung. Ihre Arbeit stützt sich auf wissenschaftliche Erkenntnisse und künstlerische Vision. Ihr Konzept steht in Wechselwirkungen mit den übrigen Konzepten und muss mit diesen und der künstlerischen Gesamtvision harmonieren. Daher arbeiten Spezialeffekt-Künstler Pyrotechnik eng mit den künstlerischen Leitern, den Operatoren und dem künstlerischen Team zusammen. Während der Proben und Vorstellungen leiten sie die Operatoren an, um die optimalen Zeitpunkte und Einstellungen zu erzielen. Spezialeffekt-Künstler Pyrotechnik erstellen Pläne, Cue-Listen und andere Unterlagen zur Unterstützung der Operatoren und der Produktionscrew. Bisweilen arbeiten Spezialeffekt-Künstler Pyrotechnik auch als selbständige Künstler und schaffen pyrotechnische Kunst außerhalb des Kontexts von Aufführungen.",Bühnenpyrotechniker|Eventpyrotechniker|Bühnenfeuerwerkerin|Bühnenpyrotechnikerin|Filmfeuerwerker|Bühnenfeuerwerker|Filmpyrotechniker|Eventpyrotechnikerin|Filmpyrotechnikerin|Filmfeuerwerkerin|Pyrotechnikerin|Pyrotechniker|Pyrotechnik-Künstlerin|Pyrotechnik-Künstler
Spezialeffekt-Künstlerin Pyrotechnik,"Spezialeffekt-Künstler Pyrotechnik entwickeln ein pyrotechnisches Konzept für eine Aufführung und überwachen dessen Umsetzung. Ihre Arbeit stützt sich auf wissenschaftliche Erkenntnisse und künstlerische Vision. Ihr Konzept steht in Wechselwirkungen mit den übrigen Konzepten und muss mit diesen und der künstlerischen Gesamtvision harmonieren. Daher arbeiten Spezialeffekt-Künstler Pyrotechnik eng mit den künstlerischen Leitern, den Operatoren und dem künstlerischen Team zusammen. Während der Proben und Vorstellungen leiten sie die Operatoren an, um die optimalen Zeitpunkte und Einstellungen zu erzielen. Spezialeffekt-Künstler Pyrotechnik erstellen Pläne, Cue-Listen und andere Unterlagen zur Unterstützung der Operatoren und der Produktionscrew. Bisweilen arbeiten Spezialeffekt-Künstler Pyrotechnik auch als selbständige Künstler und schaffen pyrotechnische Kunst außerhalb des Kontexts von Aufführungen.",Bühnenpyrotechniker|Eventpyrotechniker|Bühnenfeuerwerkerin|Bühnenpyrotechnikerin|Filmfeuerwerker|Bühnenfeuerwerker|Filmpyrotechniker|Eventpyrotechnikerin|Filmpyrotechnikerin|Filmfeuerwerkerin|Pyrotechnikerin|Pyrotechniker|Pyrotechnik-Künstlerin|Pyrotechnik-Künstler
Spezialeffekt-Techniker Flugszenen,"Spezialeffekt-Techniker Flugszenen entwickeln Flugeffekte für eine Aufführung und überwachen oder übernehmen ihre Umsetzung. Ihre Arbeit stützt sich auf wissenschaftliche Erkenntnisse und künstlerische Vision. Ihr Konzept steht in Wechselwirkungen mit den übrigen Konzepten und muss mit diesen und der künstlerischen Gesamtvision harmonieren. Sie üben die Flugchoreografie mit den Schauspielern ein und steuern sie während der Aufführung. Daher arbeiten Spezialeffekt-Techniker Flugszenen eng mit den künstlerischen Leitern, den Operatoren, den Darstellern und dem künstlerischen Team zusammen. Spezialeffekt-Techniker Flugszenen bereiten die Flugsysteme für Personen vor und überwachen sie, führen Sicherheitskontrollen durch und bedienen die Systeme. Sie sind dafür ausgebildet, angemessen auf Notfälle zu reagieren, die im Zusammenhang mit Flugszenen auftreten können. Ihre Arbeit beruht auf Plänen, Anweisungen und Berechnungen. Die Bewegung von Personen in der Höhe, in der Nähe oder oberhalb von Darstellern und Publikum, bedeutet, dass dieser Beruf mit einem hohen Risiko verbunden ist.",Spezialeffekt-Technikerin Flugszenen
Spezialeffekt-Technikerin Flugszenen,"Spezialeffekt-Techniker Flugszenen entwickeln Flugeffekte für eine Aufführung und überwachen oder übernehmen ihre Umsetzung. Ihre Arbeit stützt sich auf wissenschaftliche Erkenntnisse und künstlerische Vision. Ihr Konzept steht in Wechselwirkungen mit den übrigen Konzepten und muss mit diesen und der künstlerischen Gesamtvision harmonieren. Sie üben die Flugchoreografie mit den Schauspielern ein und steuern sie während der Aufführung. Daher arbeiten Spezialeffekt-Techniker Flugszenen eng mit den künstlerischen Leitern, den Operatoren, den Darstellern und dem künstlerischen Team zusammen. Spezialeffekt-Techniker Flugszenen bereiten die Flugsysteme für Personen vor und überwachen sie, führen Sicherheitskontrollen durch und bedienen die Systeme. Sie sind dafür ausgebildet, angemessen auf Notfälle zu reagieren, die im Zusammenhang mit Flugszenen auftreten können. Ihre Arbeit beruht auf Plänen, Anweisungen und Berechnungen. Die Bewegung von Personen in der Höhe, in der Nähe oder oberhalb von Darstellern und Publikum, bedeutet, dass dieser Beruf mit einem hohen Risiko verbunden ist.",Spezialeffekt-Techniker Flugszenen
Spezialist für das öffentliche Auftragswesen,"Spezialist/innen für das öffentliche Auftragswesen sind Vollzeiteinkäufer/innen, die als Teil eines Einkaufsteams in einer großen Organisation oder einer zentralen Beschaffungsstelle in allen Phasen des Beschaffungszyklus arbeiten. Sie setzen Bedürfnisse in Verträge um und sorgen für ein gutes Preis-Leistungs-Verhältnis für die Organisation und die Öffentlichkeit.",Beauftragter für öffentliche Aufträge|Spezialistin für das öffentliche Auftragswesen|Spezialist für öffentliches Beschaffungswesen und Verträge|Berater für öffentliches Beschaffungswesen|Spezialistin für öffentliches Beschaffungswesen und Verträge|Beraterin für öffentliches Beschaffungswesen|Beauftragte für öffentliche Aufträge
Spezialist für digitale Effekte,"Spezialisten für digitale Effekte/Spezialistinnen für digitale Effekte schaffen Illusionen für Filme, Videos und Computerspiele. Sie verwenden Computersoftware.",Spezialistin für digitale Effekte|3D-Designer Special Effects|3D-Designerin Visual Effects
Spezialist für Preiskalkulation,"Spezialisten für Preiskalkulation analysieren die Herstellungskosten, die Markttrends und die Wettbewerber, um unter Berücksichtigung von Marken- und Marketingkonzepten den richtigen Preis zu ermitteln.",Expertin für Preisberechnung|Experte für Preisberechnung|Expertin für Preiskalkulation|Spezialistin für Preiskalkulation|Experte für Preiskalkulation
Spezialistin für das öffentliche Auftragswesen,"Spezialist/innen für das öffentliche Auftragswesen sind Vollzeiteinkäufer/innen, die als Teil eines Einkaufsteams in einer großen Organisation oder einer zentralen Beschaffungsstelle in allen Phasen des Beschaffungszyklus arbeiten. Sie setzen Bedürfnisse in Verträge um und sorgen für ein gutes Preis-Leistungs-Verhältnis für die Organisation und die Öffentlichkeit.",Beauftragter für öffentliche Aufträge|Spezialist für öffentliches Beschaffungswesen und Verträge|Berater für öffentliches Beschaffungswesen|Spezialist für das öffentliche Auftragswesen|Spezialistin für öffentliches Beschaffungswesen und Verträge|Beraterin für öffentliches Beschaffungswesen|Beauftragte für öffentliche Aufträge
Spezialistin für digitale Effekte,"Spezialisten für digitale Effekte/Spezialistinnen für digitale Effekte schaffen Illusionen für Filme, Videos und Computerspiele. Sie verwenden Computersoftware.",Spezialist für digitale Effekte|3D-Designer Special Effects|3D-Designerin Visual Effects
Spezialistin für Preiskalkulation,"Spezialisten für Preiskalkulation analysieren die Herstellungskosten, die Markttrends und die Wettbewerber, um unter Berücksichtigung von Marken- und Marketingkonzepten den richtigen Preis zu ermitteln.",Expertin für Preisberechnung|Experte für Preisberechnung|Spezialist für Preiskalkulation|Expertin für Preiskalkulation|Experte für Preiskalkulation
Spielbetriebsleiter,"Spielbetriebsleiter führen die Aufsicht über den täglichen Betrieb von Spielhallen. Sie beaufsichtigen das Personal, überwachen das Spielparkett, leiten die Sicherheitsdienste an, stellen sicher, dass alle Regeln für das Glücksspiel eingehalten werden und kontrollieren die Einhaltung der Vorschriften. Sie sind für die Umsetzung der operativen Ziele des Unternehmens verantwortlich.",Spielbetriebsleiterin|Saalchef|Saalchefin
Spielbetriebsleiterin,"Spielbetriebsleiter führen die Aufsicht über den täglichen Betrieb von Spielhallen. Sie beaufsichtigen das Personal, überwachen das Spielparkett, leiten die Sicherheitsdienste an, stellen sicher, dass alle Regeln für das Glücksspiel eingehalten werden und kontrollieren die Einhaltung der Vorschriften. Sie sind für die Umsetzung der operativen Ziele des Unternehmens verantwortlich.",Spielbetriebsleiter|Saalchef|Saalchefin
Spieleentwickler,"Spieleentwickler/Spieleentwicklerinnen überwachen und koordinieren die Entwicklung, den Vertrieb und den Verkauf von Spielen. Sie kommunizieren mit Herstellern, um die Produktion von Spielen sicherzustellen.",Spieleentwicklerin|Spieleautor|Spieleautorin
Spieleentwicklerin,"Spieleentwickler/Spieleentwicklerinnen überwachen und koordinieren die Entwicklung, den Vertrieb und den Verkauf von Spielen. Sie kommunizieren mit Herstellern, um die Produktion von Spielen sicherzustellen.",Spieleentwickler|Spieleautor|Spieleautorin
Spieletester,"Spieletester überprüfen und testen verschiedene Genres von digitalen Spielen, indem sie durch Spielen Fehler oder Mängel bei Funktionen oder Grafiken aufdecken. Bisweilen bewerten sie auch die Attraktivität und Spielbarkeit von Spielen. Manchmal beheben sie Fehler auch selbst.",Game-Testerin|Spieletesterin|Game-Tester
Spieletesterin,"Spieletester überprüfen und testen verschiedene Genres von digitalen Spielen, indem sie durch Spielen Fehler oder Mängel bei Funktionen oder Grafiken aufdecken. Bisweilen bewerten sie auch die Attraktivität und Spielbarkeit von Spielen. Manchmal beheben sie Fehler auch selbst.",Game-Testerin|Spieletester|Game-Tester
Spielhallenaufsicht,"Fachkräfte der Spielhallenaufsicht kennen alle Spiele und sind in der Lage, sie zu kontrollieren. Auf diese Weise gewährleisten sie, dass in gewerblichen Spielhallen gemäß den Vorgaben des Unternehmens und dem geltenden Recht ein Höchstmaß an Effizienz, Sicherheit und Dienst am Kunden praktiziert wird. Ihre Aufgabe besteht darin, alle Spiele zu überwachen und dafür zu sorgen, dass die Regeln eingehalten werden und die Spieler nicht betrügen. Sie sind für die Instandhaltung der Geräte und die Bearbeitung aller Fragen und Beschwerden der Kunden verantwortlich.",Spielbankkontrolleur|Spielbankkontrolleurin|Spielhallenaufseher|Spielhallenaufseherin
Spielzeughersteller,"Spielzeughersteller fertigen oder reproduzieren aus verschiedenen Materialien, z. B. Kunststoff, Holz und Textilien, handgearbeitete Objekte für den Verkauf oder die Ausstellung. Sie entwickeln, entwerfen und skizzieren das Objekt, wählen die Materialien aus und schneiden, prägen und verarbeiten die Materialien nach Bedarf und bearbeiten abschließend die Oberfläche des Produkts. Darüber hinaus pflegen und reparieren Spielzeughersteller Spielzeug aller Art, auch mechanisches Spielzeug. Sie stellen Mängel an Spielzeugen fest, ersetzen beschädigte Teile und stellen die Funktionalität wieder her.",Spielzeugmacherin|Spielzeugmacher|Spielzeugherstellerin
Spielzeugherstellerin,"Spielzeughersteller fertigen oder reproduzieren aus verschiedenen Materialien, z. B. Kunststoff, Holz und Textilien, handgearbeitete Objekte für den Verkauf oder die Ausstellung. Sie entwickeln, entwerfen und skizzieren das Objekt, wählen die Materialien aus und schneiden, prägen und verarbeiten die Materialien nach Bedarf und bearbeiten abschließend die Oberfläche des Produkts. Darüber hinaus pflegen und reparieren Spielzeughersteller Spielzeug aller Art, auch mechanisches Spielzeug. Sie stellen Mängel an Spielzeugen fest, ersetzen beschädigte Teile und stellen die Funktionalität wieder her.",Spielzeugmacherin|Spielzeugmacher|Spielzeughersteller
Spielzeugmodellbauer,"Spielzeugmodellbauer entwerfen und bauen Spielzeugmodelle aus verschiedenen Materialien wie Kunststoff, Holz, Wachs und Metall.",Spielzeugmodellbauerin
Spielzeugmodellbauerin,"Spielzeugmodellbauer entwerfen und bauen Spielzeugmodelle aus verschiedenen Materialien wie Kunststoff, Holz, Wachs und Metall.",Spielzeugmodellbauer
Spinnmaschinenbediener,"Spinnmaschinenbediener produzieren Garne, Fäden und andere Fasern durch die Bedienung von Spinn-, Zwirn-, Wickel- und Haspelmaschinen. Sie behandeln Rohstoffe, bereiten sie auf die Spinnprozesse vor und verwenden Maschinen für diesen Zweck. Sie führen auch die normale Wartung der Maschine durch.",Bedienerin von Spinnmaschinen|Spinnmaschinenbedienerin|Bediener von Spinnmaschinen
Spinnmaschinenbedienerin,"Spinnmaschinenbediener produzieren Garne, Fäden und andere Fasern durch die Bedienung von Spinn-, Zwirn-, Wickel- und Haspelmaschinen. Sie behandeln Rohstoffe, bereiten sie auf die Spinnprozesse vor und verwenden Maschinen für diesen Zweck. Sie führen auch die normale Wartung der Maschine durch.",Bedienerin von Spinnmaschinen|Bediener von Spinnmaschinen|Spinnmaschinenbediener
Spirituosenmischer,"Spirituosenmischer übernehmen das Einstellen, Filtern, Korrigieren, Mischen und Überprüfen alkoholischer Getränke, bevor diese für die Abfüllung vorbereitet werden. Zu diesem Zweck bedienen sie Geräte und Maschinen, um jeden dieser Vorgänge auszuführen.",Alkoholmischer|Spirituosenmischerin|Alkoholmischerin
Spirituosenmischerin,"Spirituosenmischer übernehmen das Einstellen, Filtern, Korrigieren, Mischen und Überprüfen alkoholischer Getränke, bevor diese für die Abfüllung vorbereitet werden. Zu diesem Zweck bedienen sie Geräte und Maschinen, um jeden dieser Vorgänge auszuführen.",Alkoholmischer|Alkoholmischerin|Spirituosenmischer
Spirituosenschleifmühlenbediener,"Spirituosenschleifmühlenbediener bedienen Walzwerke, die zerkleinerte Kakaobohnen oder Kakaomasse mahlen, um flüssige Schokolade einer bestimmten Konsistenz zu erhalten. Sie bedienen Trichter, die Kakaoraspeln ausgeben, die wiederum von Mahlsteinen gemahlen werden.",Spirituosenschleifmühlenbedienerin|Spirituosenreibmühlenbedienerin|Spirituosenreibmühlenbediener
Spirituosenschleifmühlenbedienerin,"Spirituosenschleifmühlenbediener bedienen Walzwerke, die zerkleinerte Kakaobohnen oder Kakaomasse mahlen, um flüssige Schokolade einer bestimmten Konsistenz zu erhalten. Sie bedienen Trichter, die Kakaoraspeln ausgeben, die wiederum von Mahlsteinen gemahlen werden.",Spirituosenschleifmühlenbediener|Spirituosenreibmühlenbedienerin|Spirituosenreibmühlenbediener
Sportartikel-Servicetechniker,"Sportartikel-Servicetechniker warten und reparieren Sportgeräte, z. B. Tennisschläger, Bogenausrüstung und Campingausrüstung. Sie reparieren beschädigte Teile mit Handwerkzeugen oder mechanischen Werkzeugen.",Sportartikel-Servicetechnikerin
Sportartikel-Servicetechnikerin,"Sportartikel-Servicetechniker warten und reparieren Sportgeräte, z. B. Tennisschläger, Bogenausrüstung und Campingausrüstung. Sie reparieren beschädigte Teile mit Handwerkzeugen oder mechanischen Werkzeugen.",Sportartikel-Servicetechniker
Sportassistent,"Sportassistenten fördern die Teilnahme neuer und bestehender Mitglieder an Gesundheits- und Fitnessangeboten. Sie sorgen für ein sauberes, sicheres und ansprechendes Umfeld, das die regelmäßige Teilnahme und Zufriedenheit der Mitglieder fördert. Sie sind eine Informations- und Motivationsquelle für alle Mitglieder und unterstützen nach Möglichkeit aktiv Fitnesstrainer und andere Beschäftigte.",Sportfachmann|Sportassistentin|Sportfachfrau|Sport- und Fitnesskaufmann|Sport- und Fitnesskauffrau
Sportassistentin,"Sportassistenten fördern die Teilnahme neuer und bestehender Mitglieder an Gesundheits- und Fitnessangeboten. Sie sorgen für ein sauberes, sicheres und ansprechendes Umfeld, das die regelmäßige Teilnahme und Zufriedenheit der Mitglieder fördert. Sie sind eine Informations- und Motivationsquelle für alle Mitglieder und unterstützen nach Möglichkeit aktiv Fitnesstrainer und andere Beschäftigte.",Sportfachmann|Sportfachfrau|Sport- und Fitnesskaufmann|Sport- und Fitnesskauffrau|Sportassistent
Sportjournalist,"Sportjournalisten recherchieren und verfassen Artikel über Sportveranstaltungen und Sportler für Zeitungen, Zeitschriften, Fernsehen und andere Medien. Sie führen Interviews und nehmen an Veranstaltungen teil.",Sportjournalistin|Sportredakteur|Sportredakteurin
Sportjournalistin,"Sportjournalisten recherchieren und verfassen Artikel über Sportveranstaltungen und Sportler für Zeitungen, Zeitschriften, Fernsehen und andere Medien. Sie führen Interviews und nehmen an Veranstaltungen teil.",Sportjournalist|Sportredakteur|Sportredakteurin
Sportlehrer,"Sportlehrer bieten in der Sportart, auf die sie spezialisiert sind, Unterricht für Teilnehmer aus bestimmten oder allen Altersgruppen in deren Freizeit an. Sie stellen fest, über welche Fähigkeiten die Teilnehmer bereits verfügen, und steigern die körperliche und geistige Fitness der von ihnen unterrichteten Gruppen oder Einzelpersonen durch geeignete Trainingsprogramme. Sie schaffen das optimale Umfeld für die Weiterentwicklung der Teilnehmer, versetzen sie in die Lage, ihre Leistung zu maximieren, und wecken zugleich ihren Sportsgeist. Außerdem verfolgen Sportlehrer die Fortschritte der Teilnehmer und geben bei Bedarf eine individuelle Anleitung. Sie überwachen Sporteinrichtungen und Umkleideräume und halten Mannschaftskleidung und Sportgeräte instand.",Sportcoach|Sporttrainerin|Sporttrainer|Sportlehrerin|Sportpädagogin|Sportpädagoge
Sportlehrerin,"Sportlehrer bieten in der Sportart, auf die sie spezialisiert sind, Unterricht für Teilnehmer aus bestimmten oder allen Altersgruppen in deren Freizeit an. Sie stellen fest, über welche Fähigkeiten die Teilnehmer bereits verfügen, und steigern die körperliche und geistige Fitness der von ihnen unterrichteten Gruppen oder Einzelpersonen durch geeignete Trainingsprogramme. Sie schaffen das optimale Umfeld für die Weiterentwicklung der Teilnehmer, versetzen sie in die Lage, ihre Leistung zu maximieren, und wecken zugleich ihren Sportsgeist. Außerdem verfolgen Sportlehrer die Fortschritte der Teilnehmer und geben bei Bedarf eine individuelle Anleitung. Sie überwachen Sporteinrichtungen und Umkleideräume und halten Mannschaftskleidung und Sportgeräte instand.",Sportcoach|Sporttrainerin|Sporttrainer|Sportpädagogin|Sportpädagoge|Sportlehrer
Sporttherapeut,"Sporttherapeuten planen und überwachen Rehabilitationsmaßnahmen für Einzelpersonen und Gruppen. Sie arbeiten mit Personen mit chronischen Erkrankungen oder einem hohen Erkrankungsrisiko. Sie tauschen sich mit medizinischen Fachkräften und Fachkräften im Gesundheitswesen über den Zustand der Teilnehmer aus. Dabei verwenden sie die richtige medizinische Terminologie, und sie kennen die gängigen Behandlungsmöglichkeiten für die jeweilige Erkrankung. Sporttherapeuten verfolgen in Bezug auf das Wohlbefinden ihrer Klienten einen ganzheitlichen Ansatz, der Beratung in Bezug auf Lebensweise, Lebensmittel oder Zeitmanagement mit einschließt. Sie haben keinen medizinischen Hintergrund und müssen über keine medizinische Ausbildung verfügen.",Sporttherapeutin
Sporttherapeutin,"Sporttherapeuten planen und überwachen Rehabilitationsmaßnahmen für Einzelpersonen und Gruppen. Sie arbeiten mit Personen mit chronischen Erkrankungen oder einem hohen Erkrankungsrisiko. Sie tauschen sich mit medizinischen Fachkräften und Fachkräften im Gesundheitswesen über den Zustand der Teilnehmer aus. Dabei verwenden sie die richtige medizinische Terminologie, und sie kennen die gängigen Behandlungsmöglichkeiten für die jeweilige Erkrankung. Sporttherapeuten verfolgen in Bezug auf das Wohlbefinden ihrer Klienten einen ganzheitlichen Ansatz, der Beratung in Bezug auf Lebensweise, Lebensmittel oder Zeitmanagement mit einschließt. Sie haben keinen medizinischen Hintergrund und müssen über keine medizinische Ausbildung verfügen.",Sporttherapeut
Sporttrainer,"Sporttrainer führen Menschen in den Sport ein und vermitteln ihnen die für sportliche Betätigung erforderlichen Fähigkeiten. Sie sind Experten für eine oder mehrere Sportarten, oftmals Abenteuersportarten, und sie wissen, wie sie andere motivieren und ihre Begeisterung weitergeben.",Sportcoach|Sporttrainerin
Sporttrainerin,"Sporttrainer führen Menschen in den Sport ein und vermitteln ihnen die für sportliche Betätigung erforderlichen Fähigkeiten. Sie sind Experten für eine oder mehrere Sportarten, oftmals Abenteuersportarten, und sie wissen, wie sie andere motivieren und ihre Begeisterung weitergeben.",Sportcoach|Sporttrainer
Sportverwalter,"Sportverwalter/Sportverwalterinnen haben in Sportverbänden auf allen Ebenen, in allen Sportarten oder Ländern in Europa (z. B. Sportvereine, Verbände und lokale Behörden) eine Funktion der mittleren Führungsebene inne. Sie nehmen im Einklang mit der Strategie und den Vorgaben der Führungsebene, der Verwaltungsräte und der Ausschüsse über ein breites Funktionsspektrum hinweg organisatorische Aufgaben wahr. Sie spielen bei der allgemeinen Ausübung von Sport eine entscheidende Rolle, und ihre Arbeit in den Sportorganisationen wirkt sich unmittelbar auf die Erschließung des Potenzials des Sportsektors in den Bereichen Gesundheit, soziale Eingliederung und Wirtschaft aus.",Sportverwalterin
Sportverwalterin,"Sportverwalter/Sportverwalterinnen haben in Sportverbänden auf allen Ebenen, in allen Sportarten oder Ländern in Europa (z. B. Sportvereine, Verbände und lokale Behörden) eine Funktion der mittleren Führungsebene inne. Sie nehmen im Einklang mit der Strategie und den Vorgaben der Führungsebene, der Verwaltungsräte und der Ausschüsse über ein breites Funktionsspektrum hinweg organisatorische Aufgaben wahr. Sie spielen bei der allgemeinen Ausübung von Sport eine entscheidende Rolle, und ihre Arbeit in den Sportorganisationen wirkt sich unmittelbar auf die Erschließung des Potenzials des Sportsektors in den Bereichen Gesundheit, soziale Eingliederung und Wirtschaft aus.",Sportverwalter
Sprachdatenverarbeiter,"Sprachdatenverarbeiter/Sprachdatenverarbeiterinnen sind im Bereich der Informatik tätig, insbesondere in der Verarbeitung natürlicher Sprache. Sie sind bestrebt, die Lücke in der Übersetzung zwischen der korrekten Übersetzung durch Menschen und maschinellen Übersetzungssystemen zu schließen. Sie prüfen Texte, vergleichen und kartieren Übersetzungen und verbessern die sprachliche Qualität der Übersetzungen durch Programmierung und Codes.",Computerlinguistin|Computerlinguist|Sprachdatenverarbeiterin
Sprachdatenverarbeiterin,"Sprachdatenverarbeiter/Sprachdatenverarbeiterinnen sind im Bereich der Informatik tätig, insbesondere in der Verarbeitung natürlicher Sprache. Sie sind bestrebt, die Lücke in der Übersetzung zwischen der korrekten Übersetzung durch Menschen und maschinellen Übersetzungssystemen zu schließen. Sie prüfen Texte, vergleichen und kartieren Übersetzungen und verbessern die sprachliche Qualität der Übersetzungen durch Programmierung und Codes.",Computerlinguistin|Computerlinguist|Sprachdatenverarbeiter
Sprecher,"Sprecher äußern sich im Namen von Unternehmen oder Organisationen. Sie nutzen Kommunikationsstrategien, um ihre Kunden durch öffentliche Verlautbarungen und auf Konferenzen zu vertreten. Sie stellen ihre Kunden in einem günstigen Licht dar und bemühen sich darum, ihre Aktivitäten und Interessen besser zu vermitteln.",Sprecherin
Sprecherin,"Sprecher äußern sich im Namen von Unternehmen oder Organisationen. Sie nutzen Kommunikationsstrategien, um ihre Kunden durch öffentliche Verlautbarungen und auf Konferenzen zu vertreten. Sie stellen ihre Kunden in einem günstigen Licht dar und bemühen sich darum, ihre Aktivitäten und Interessen besser zu vermitteln.",Sprecher
Sprengmeister,"Sprengmeister platzieren Sprengstoffe an der Sprengstelle und bringen diese kontrolliert zur Explosion, um vorhandenes Material abzusprengen und zu zerkleinern.",Sprengtechnikerin|Sprengberechtigte|Sprengmeisterin|Sprengtechniker|Sprengbefugter|Sprengberechtigter|Sprengbefugte
Sprengmeisterin,"Sprengmeister platzieren Sprengstoffe an der Sprengstelle und bringen diese kontrolliert zur Explosion, um vorhandenes Material abzusprengen und zu zerkleinern.",Sprengtechnikerin|Sprengberechtigte|Sprengmeister|Sprengtechniker|Sprengbefugter|Sprengberechtigter|Sprengbefugte
Sprengstoffarbeiter,"Sprengstoffarbeiter überwachen und kontrollieren Geräte, die chemische Stoffe zur Herstellung von Sprengstoffen verarbeiten. Sie sind für die Lagerung der Ware in Tanks verantwortlich.",Sprengstoffarbeiterin
Sprengstoffarbeiterin,"Sprengstoffarbeiter überwachen und kontrollieren Geräte, die chemische Stoffe zur Herstellung von Sprengstoffen verarbeiten. Sie sind für die Lagerung der Ware in Tanks verantwortlich.",Sprengstoffarbeiter
